"page_id","A_o","nodes"
"1",768,0.572981366459628,46
"2",769,0.932330827067669,19
"3",762,0.734314671814674,592
"4",763,0.82920634920635,75
"5",760,0.798872180451126,152
"6",766,0.824595469255664,103
"7",767,0.975,10
"8",764,0.907782101167315,771
"9",765,0.827272727272727,20
"10",909,0.69951124144673,682
"11",692,0.686906201416479,827
"12",693,0.416574585635362,362
"13",691,0.78510101010101,396
"14",696,0.79644541167935,919
"15",697,0.797892434635642,958
"16",694,0.717703913248468,404
"17",695,0.863636363636364,44
"18",698,0.893681318681318,130
"19",699,0.853433226651149,491
"20",819,0.670138888888889,24
"21",810,0.497821350762528,306
"22",811,0.958159541188738,274
"23",812,0.965111111111111,100
"24",814,0.883587786259542,131
"25",815,0.795975855130785,355
"26",816,0.928205128205128,39
"27",817,0.911111111111111,15
"28",719,0.852891396332864,709
"29",718,0.677704194260485,151
"30",717,0.866961217476683,291
"31",716,0.802327084680017,1105
"32",713,0.731646825396824,144
"33",712,0.547850208044383,103
"34",710,0.816073354908307,103
"35",884,0.597452934662238,86
"36",910,0.855072463768116,23
"37",892,0.860650510204082,112
"38",829,0.880952380952381,40
"39",828,0.88827045969903,231
"40",825,0.951351351351351,111
"41",824,0.747820254862507,142
"42",827,0.85007072135785,101
"43",826,0.825396825396826,78
"44",821,0.954451345755694,23
"45",820,0.946458185264155,201
"46",823,1,1678
"47",822,0.934455075332673,433
"48",890,0.760204081632653,56
"49",862,0.71082474226804,194
"50",709,0.881592039800995,268
"51",891,0.797407407407403,300
"52",706,0.981723237597911,383
"53",707,0.793425324675325,88
"54",701,0.872184936614467,149
"55",702,0.867817896389324,910
"56",703,0.611567635903919,226
"57",894,0.842188114915386,121
"58",895,0.812301587301588,120
"59",797,0.872596153846153,416
"60",796,0.880128205128205,104
"61",795,0.760609984174939,331
"62",794,0.760828625235405,59
"63",793,0.995595926231764,173
"64",792,0.88135593220339,59
"65",791,0.883390705679862,166
"66",790,0.747666905958363,199
"67",838,0.798708635996771,413
"68",839,0.906666666666667,25
"69",799,0.685045948203844,171
"70",798,0.430588235294117,340
"71",919,0.939605110336818,205
"72",918,0.966611932129174,435
"73",915,0.709474463360475,772
"74",914,0.858309037900875,245
"75",917,0.74025974025974,99
"76",916,0.843406593406594,26
"77",911,0.918871252204584,108
"78",847,0.978888888888889,120
"79",913,0.602851605758583,344
"80",912,0.587687687687687,74
"81",902,0.932222222222222,240
"82",920,0.873626373626374,13
"83",923,0.922448979591837,49
"84",921,0.699423247559893,161
"85",904,0.601937984496124,172
"86",846,0.936507936507937,72
"87",922,0.770325203252032,738
"88",784,0.85576923076923,156
"89",785,0.988095238095238,88
"90",786,0.874611801242236,92
"91",787,0.736873156342183,339
"92",780,0.928021978021978,130
"93",781,0.87379679144385,17
"94",782,0.93840579710145,69
"95",783,0.883928571428571,20
"96",896,0.96996699669967,202
"97",903,0.744047619047619,320
"98",788,0.82494201118843,349
"99",789,0.738977072310406,81
"100",849,0.885593220338983,59
"101",848,0.886238532110092,109
"102",883,0.990446796002352,243
"103",882,0.98447204968944,46
"104",900,0.976954732510288,81
"105",881,0.983823529411765,136
"106",880,0.911525974025974,44
"107",901,0.875407697325505,219
"108",887,0.902702702702703,37
"109",854,0.482880755608029,121
"110",855,0.573573573573572,222
"111",856,0.801401869158878,107
"112",857,0.683947772657449,124
"113",850,0.93125,32
"114",852,0.59572192513369,187
"115",853,0.601970443349754,203
"116",832,0.495601173020528,341
"117",858,0.857875457875456,130
"118",859,0.930059523809524,48
"119",731,0.98168498168498,624
"120",730,0.898419203747073,122
"121",733,0.812748015873016,192
"122",732,0.637852593266605,314
"123",735,0.993188854489164,323
"124",734,0.920845159255755,151
"125",737,0.836563876651982,227
"126",736,0.787569573283857,154
"127",739,0.874800637958533,19
"128",738,0.93703007518797,76
"129",753,0.993002915451895,245
"130",752,0.96805304400241,79
"131",751,0.947115384615385,104
"132",750,0.831645569620252,316
"133",757,0.54006968641115,41
"134",756,0.90033167495854,134
"135",755,0.875,102
"136",754,0.47212741751991,293
"137",833,0.888180272108843,112
